Time,Temperature,Event
0.004074,43.750000,""
2.181542,43.500000,""
4.359140,43.250000,""
6.535127,43.062500,""
8.710885,43.700000,""
10.887065,46.100000,""
13.063168,50.550000,""
15.239971,57.300000,""
17.416435,66.000000,""
19.592296,75.700000,""
21.769035,85.200000,""
23.945124,94.100000,""
26.121426,102.300000,""
28.298207,109.850000,""
30.474720,117.000000,""
32.651643,123.600000,""
34.828191,129.200000,""
37.005399,134.150000,""
39.181892,138.850000,""
41.358142,143.400000,""
43.534433,147.750000,""
45.710839,152.550000,""
47.887330,157.250000,""
50.063515,161.800000,""
52.240154,166.500000,""
54.416631,171.150000,""
56.592834,175.250000,""
58.769187,179.150000,""
60.946005,183.250000,""
63.122509,186.500000,""
65.298925,189.050000,""
67.475203,191.850000,""
69.651127,194.200000,""
71.828011,195.500000,""
74.004378,196.600000,""
76.177995,198.500000,""
78.354433,200.200000,""
80.531183,202.000000,""
82.707942,204.250000,""
84.884670,206.450000,""
87.061395,208.000000,""
89.237897,209.650000,""
91.414461,211.450000,""
93.591007,214.200000,""
95.767928,217.100000,""
97.944575,220.350000,""
100.121065,223.100000,""
102.299078,225.650000,""
104.506606,225.650000,"First crack"
104.507612,227.000000,""
106.685469,227.900000,""
108.863184,227.650000,""
111.041100,227.350000,""
113.218112,227.100000,""
115.394826,226.650000,""
117.571582,226.400000,""
119.749894,226.900000,""
121.928093,227.900000,""
124.119168,229.150000,""
126.296404,230.750000,""
128.474483,232.350000,""
130.662759,232.350000,"Rolling first crack"
130.663860,233.900000,""
132.842140,235.300000,""
135.021704,236.450000,""
137.200464,237.300000,""
139.378594,238.200000,""
141.555210,239.000000,""
143.734345,239.800000,""
145.912603,240.600000,""
148.091499,241.550000,""
150.269825,242.500000,""
152.448299,243.450000,""
154.625389,244.300000,""
156.803297,245.150000,""
158.981686,246.050000,""
161.160483,246.900000,""
163.339103,247.850000,""
165.515430,248.850000,""
167.689485,249.900000,""
169.867800,250.800000,""
172.045307,251.700000,""
174.224222,252.450000,""
176.402543,253.250000,""
178.581080,253.950000,""
180.759473,254.750000,""
182.938173,255.650000,""
185.117237,256.800000,""
187.295024,257.950000,""
189.473762,259.200000,""
191.652369,260.400000,""
193.830861,261.550000,""
196.009563,262.500000,""
198.184049,263.950000,""
200.362753,264.950000,""
202.541530,265.500000,""
204.720508,265.050000,""
206.899098,263.650000,""
209.075478,260.750000,""
211.254375,257.250000,""
213.432812,253.250000,""
215.611032,249.300000,""
217.789760,245.400000,""
219.965771,241.550000,""
222.143860,237.750000,""
224.322806,233.950000,""
226.500937,230.100000,""
228.675038,226.300000,""
230.853379,222.550000,""
233.032209,218.900000,""
235.210487,215.450000,""
237.389420,212.200000,""
239.568453,209.100000,""
241.747058,206.150000,""
243.925165,203.400000,""
246.103872,200.700000,""
248.282287,198.050000,""
250.461282,195.400000,""
252.639708,192.900000,""
254.815689,190.450000,""
256.994756,188.100000,""
259.168669,185.900000,""
261.346683,183.800000,""
263.525089,181.600000,""
265.703877,179.800000,""
267.882576,178.200000,""
270.061050,176.400000,""
272.239671,174.450000,""
274.417839,172.900000,""
276.595363,170.750000,""
278.774848,168.300000,""
280.953154,166.050000,""
283.132184,164.100000,""
285.310938,162.200000,""
287.489210,160.700000,""
289.665746,159.500000,""
291.843831,158.550000,""
294.022632,157.700000,""
296.201203,156.700000,""
298.379803,155.750000,""
300.558337,154.850000,""
302.735360,153.850000,""
304.913476,152.850000,""
307.092139,151.800000,""
309.271082,150.650000,""
311.449936,149.500000,""
313.627921,148.450000,""
315.805295,147.350000,""
317.984042,146.350000,""
320.163037,145.450000,""
322.343215,144.600000,""
324.521639,143.700000,""
326.700386,142.850000,""
328.878915,142.000000,""
331.057807,141.100000,""
333.235074,140.150000,""
335.413731,139.200000,""
337.592383,138.300000,""
339.770458,137.350000,""
341.949514,136.450000,""
344.128299,135.550000,""
346.305250,134.700000,""
348.484471,133.900000,""
350.663659,133.150000,""
352.842329,132.400000,""
355.020957,131.700000,""
357.199461,131.000000,""
359.378045,130.300000,""
361.557051,129.600000,""
363.734920,128.950000,""
365.914121,128.300000,""
368.092769,127.650000,""
370.271400,127.000000,""
372.450145,126.350000,""
374.628502,125.700000,""
376.807241,125.050000,""
378.984989,124.450000,""
381.163267,123.800000,""
383.342312,123.200000,""
385.520487,122.550000,""
387.699186,121.950000,""
389.875726,121.300000,""
392.054680,120.700000,""
394.233275,120.050000,""
396.411653,119.450000,""
398.590278,118.850000,""
400.768725,118.300000,""
402.947439,117.750000,""
405.125099,117.250000,""
407.303452,116.750000,""
409.481655,116.250000,""
411.660506,115.700000,""
413.839273,115.200000,""
416.017604,114.650000,""
418.195133,114.100000,""
420.373629,113.550000,""
422.552979,113.050000,""
424.731335,112.450000,""
426.910474,111.950000,""
429.089408,111.400000,""
431.265608,110.900000,""
433.444390,110.400000,""
435.622961,109.950000,""
437.801006,109.500000,""
439.980040,109.100000,""
442.155673,108.600000,""
