Coffee:
El Salvador Majahual
Notes:

Time,Temperature,Event
1.250089,23.500000,""
3.415728,23.375000,""
5.568479,23.333333,""
7.721023,23.312500,""
9.883715,23.300000,""
12.043585,23.250000,""
14.197857,23.250000,""
16.349594,23.250000,""
18.502496,23.250000,""
20.659697,23.250000,""
22.811188,23.250000,""
24.964208,23.250000,""
27.117291,23.250000,""
29.272355,23.200000,""
31.422545,23.200000,""
33.572439,23.200000,""
35.722216,23.250000,""
38.018948,23.300000,""
40.168829,23.400000,""
42.319544,23.500000,""
44.469796,23.600000,""
46.620339,23.650000,""
48.770568,23.750000,""
50.921314,23.850000,""
53.071286,23.900000,""
55.221974,23.950000,""
57.371908,23.950000,""
59.522819,23.950000,""
61.673034,23.950000,""
63.823764,23.950000,""
65.974061,23.950000,""
68.128764,24.000000,""
70.280822,24.000000,""
72.431755,24.000000,""
74.587979,24.000000,""
76.741025,24.000000,""
78.891983,24.000000,""
81.044023,23.950000,""
83.197976,23.950000,""
85.348250,23.950000,""
87.498632,23.950000,""
89.649216,23.950000,""
91.799596,23.950000,""
93.949991,23.950000,""
96.100827,23.950000,""
98.250978,23.950000,""
100.401265,23.950000,""
102.551827,24.050000,""
104.702194,24.300000,""
106.852747,25.500000,""
109.002720,28.400000,""
111.153530,33.450000,""
113.303691,40.450000,""
115.454716,49.300000,""
117.611594,59.000000,""
119.762850,68.750000,""
121.913392,77.750000,""
124.063602,85.700000,""
126.221357,92.550000,""
128.373516,98.500000,""
130.526070,103.450000,""
132.678024,107.550000,""
134.830033,111.400000,""
136.982910,114.950000,""
139.134697,118.100000,""
141.287406,120.950000,""
143.439631,123.750000,""
145.592682,126.500000,""
147.744835,129.350000,""
149.897461,131.850000,""
152.049784,134.250000,""
154.201729,136.700000,""
156.353670,138.800000,""
158.512705,140.200000,""
160.665454,141.950000,""
162.817622,143.700000,""
164.970326,145.200000,""
167.122686,146.750000,""
169.275009,148.900000,""
171.427102,150.900000,""
173.579093,153.250000,""
175.731221,154.800000,""
177.883426,156.000000,""
180.036011,156.200000,""
182.188434,155.450000,""
184.340618,154.300000,""
186.493197,153.400000,""
188.652601,152.650000,""
190.819168,152.400000,""
192.971371,153.050000,""
195.123515,153.500000,""
197.275900,154.050000,""
199.428279,154.550000,""
201.580919,154.950000,""
203.733047,155.200000,""
205.885550,155.550000,""
208.037161,156.300000,""
210.190471,157.050000,""
212.342580,158.200000,""
214.494451,159.250000,""
216.647498,160.350000,""
218.806449,161.700000,""
220.958844,163.250000,""
223.111010,164.600000,""
225.263522,166.100000,""
227.416096,167.500000,""
229.568231,168.550000,""
231.720758,169.500000,""
233.873052,170.400000,""
236.025531,171.250000,""
238.177652,172.150000,""
240.330332,173.100000,""
242.483216,174.100000,""
244.636165,175.000000,""
246.788189,175.900000,""
248.948129,176.750000,""
251.100375,177.500000,""
253.253382,178.200000,""
255.405383,178.900000,""
257.558012,179.600000,""
259.710090,180.250000,""
261.862834,181.050000,""
442.410785,181.050000,"First crack"
