Time,Temperature,Event
0.280358,84.500000,""
2.464226,84.125000,""
4.645738,83.833333,""
6.822803,83.562500,""
9.021101,83.300000,""
11.288852,82.750000,""
13.471926,82.250000,""
15.650133,81.800000,""
25.984679,81.050000,""
28.167060,80.300000,""
30.350146,79.600000,""
32.551508,78.950000,""
34.752645,78.300000,""
36.938034,78.000000,""
39.120912,77.750000,""
41.306623,77.500000,""
43.487205,78.100000,""
45.668072,80.450000,""
47.848292,85.050000,""
50.028948,92.150000,""
52.209642,101.550000,""
54.389963,111.950000,""
56.570778,122.400000,""
58.750890,132.250000,""
60.931010,140.550000,""
63.110903,147.600000,""
65.291039,153.500000,""
67.470967,158.650000,""
69.651090,163.150000,""
71.830937,167.400000,""
74.010985,171.300000,""
76.190924,175.250000,""
78.371109,179.150000,""
80.550974,182.900000,""
82.731030,186.550000,""
84.910955,190.000000,""
87.090815,192.950000,""
89.271013,195.400000,""
91.451030,197.600000,""
93.631898,199.650000,""
95.811283,201.450000,""
97.991006,203.150000,""
100.170972,204.600000,""
102.350992,206.000000,""
104.531129,207.400000,""
106.711012,209.000000,""
108.890938,211.000000,""
111.073021,213.150000,""
113.285229,213.150000,"First crack"
113.287102,215.400000,""
115.470567,217.750000,""
117.664723,220.050000,""
119.848003,222.200000,""
122.028905,224.200000,""
124.210331,225.800000,""
126.391014,227.050000,""
128.571131,228.100000,""
130.751125,229.000000,""
132.931198,230.100000,""
135.111007,230.950000,""
137.291141,231.450000,""
139.471096,231.800000,""
141.651207,232.300000,""
143.831084,232.900000,""
146.011121,233.750000,""
148.191135,235.100000,""
150.371248,236.850000,""
152.551138,238.600000,""
154.731224,240.050000,""
156.911092,241.550000,""
159.091153,242.750000,""
161.271054,243.350000,""
163.450927,243.250000,""
165.631041,243.200000,""
167.811187,243.300000,""
169.991193,243.750000,""
172.171236,244.550000,""
174.352915,245.800000,""
176.533266,246.900000,""
178.713339,247.800000,""
180.893480,248.500000,""
183.071736,249.250000,""
185.251239,250.200000,""
187.431188,251.300000,""
189.631734,251.300000,"Rolling first crack"
189.632974,252.400000,""
191.814830,253.600000,""
193.997958,254.750000,""
196.180049,255.700000,""
198.361537,256.450000,""
200.541439,257.050000,""
202.721348,257.500000,""
204.901434,258.000000,""
207.081340,258.600000,""
209.261271,259.300000,""
211.441353,260.050000,""
213.621223,260.750000,""
215.801349,261.350000,""
217.981214,261.850000,""
220.161358,262.300000,""
222.341432,262.350000,""
224.521383,261.950000,""
226.701299,260.300000,""
228.881363,258.200000,""
231.061351,254.700000,""
233.241443,250.650000,""
235.421324,246.200000,""
237.601388,242.100000,""
239.781371,237.600000,""
241.961278,233.700000,""
244.142899,230.000000,""
246.321772,226.350000,""
248.501359,222.900000,""
250.681241,219.550000,""
252.861407,216.300000,""
255.041341,213.100000,""
257.221386,210.050000,""
259.401214,207.050000,""
261.581392,204.150000,""
263.761294,201.350000,""
265.941369,198.600000,""
268.121332,195.950000,""
270.301448,193.350000,""
272.481369,190.850000,""
274.661189,188.400000,""
276.841429,186.050000,""
279.021432,183.800000,""
281.203713,181.600000,""
283.381751,179.450000,""
285.561423,177.350000,""
287.741405,175.250000,""
289.921486,173.150000,""
292.101414,171.150000,""
294.281271,169.200000,""
296.461388,167.300000,""
298.641322,165.500000,""
300.821462,163.750000,""
303.001180,162.050000,""
305.181428,160.350000,""
307.361380,158.700000,""
309.541332,157.100000,""
311.734068,155.550000,""
313.954741,154.000000,""
316.136954,152.500000,""
